movie_title;imdb_id;title_year;duration;imdb_score;num_voted_users;director_name;actor_1_name;actor_2_name;actor_3_name;country;language;content_rating;genre_1;genre_2;genre_3;budget;gross;movie_facebook_likes;decade;profit;roi_pct;categorie_note
Monsters University ;tt1453405;2013;104;7,3;235025;Dan Scanlon;Steve Buscemi;Tyler Labine;Sean Hayes;USA;English;G;Adventure;Animation;Comedy;200000000,0;268488329,0;44000;2010;68488329,0;34,2;Bon (7-8)
Transformers: Revenge of the Fallen ;tt1055369;2009;150;6,0;323207;Michael Bay;Glenn Morshower;Kevin Dunn;Ramon Rodriguez;USA;English;PG-13;Action;Adventure;Sci-Fi;200000000,0;402076689,0;0;2000;202076689,0;101,0;Moyen (6-7)
Transformers: Age of Extinction ;tt2109248;2014;165;5,7;242420;Michael Bay;Bingbing Li;Sophia Myles;Kelsey Grammer;USA;English;PG-13;Action;Adventure;Sci-Fi;210000000,0;245428137,0;56000;2010;35428137,0;16,9;Faible (<6)
Oz the Great and Powerful ;tt1623205;2013;130;6,4;175409;Sam Raimi;Tim Holmes;Mila Kunis;James Franco;USA;English;PG;Adventure;Family;Fantasy;215000000,0;234903076,0;60000;2010;19903076,0;9,3;Moyen (6-7)
The Amazing Spider-Man 2 ;tt1872181;2014;142;6,7;321227;Marc Webb;Emma Stone;Andrew Garfield;B.J. Novak;USA;English;PG-13;Action;Adventure;Fantasy;200000000,0;202853933,0;41000;2010;2853933,0;1,4;Moyen (6-7)
TRON: Legacy ;tt1104001;2010;125;6,8;264183;Joseph Kosinski;Jeff Bridges;Olivia Wilde;James Frain;USA;English;PG;Action;Adventure;Sci-Fi;170000000,0;172051787,0;30000;2010;2051787,0;1,2;Moyen (6-7)
Cars 2 ;tt1216475;2011;106;6,3;101178;John Lasseter;Joe Mantegna;Thomas Kretschmann;Eddie Izzard;USA;English;G;Adventure;Animation;Comedy;200000000,0;191450875,0;10000;2010;-8549125,0;-4,3;Moyen (6-7)
Green Lantern ;tt1133985;2011;123;5,6;223393;Martin Campbell;Ryan Reynolds;Temuera Morrison;Taika Waititi;USA;English;PG-13;Action;Adventure;Sci-Fi;200000000,0;116593191,0;24000;2010;-83406809,0;-41,7;Faible (<6)
Toy Story 3 ;tt0435761;2010;103;8,3;544884;Lee Unkrich;Tom Hanks;John Ratzenberger;Don Rickles;USA;English;G;Adventure;Animation;Comedy;200000000,0;414984497,0;30000;2010;214984497,0;107,5;Excellent (8+)
Terminator Salvation ;tt0438488;2009;118;6,6;286095;McG;Christian Bale;Bryce Dallas Howard;Common;USA;English;PG-13;Action;Adventure;Sci-Fi;200000000,0;125320003,0;0;2000;-74679997,0;-37,3;Moyen (6-7)
Furious 7 ;tt2820852;2015;140;7,2;278232;James Wan;Jason Statham;Paul Walker;Vin Diesel;USA;English;PG-13;Action;Crime;Thriller;190000000,0;350034110,0;94000;2010;160034110,0;84,2;Bon (7-8)
World War Z ;tt0816711;2013;123;7,0;465019;Marc Forster;Peter Capaldi;Brad Pitt;Mireille Enos;USA;English;PG-13;Action;Adventure;Horror;190000000,0;202351611,0;129000;2010;12351611,0;6,5;Bon (7-8)
X-Men: Days of Future Past ;tt1877832;2014;149;8,0;514125;Bryan Singer;Jennifer Lawrence;Peter Dinklage;Hugh Jackman;USA;English;PG-13;Action;Adventure;Fantasy;200000000,0;233914986,0;82000;2010;33914986,0;17,0;Excellent (8+)
Star Trek Into Darkness ;tt1408101;2013;132;7,8;395573;J.J. Abrams;Benedict Cumberbatch;Bruce Greenwood;Noel Clarke;USA;English;PG-13;Action;Adventure;Sci-Fi;190000000,0;228756232,0;92000;2010;38756232,0;20,4;Bon (7-8)
Jack the Giant Slayer ;tt1351685;2013;114;6,3;106416;Bryan Singer;Eddie Marsan;Ewen Bremner;Ralph Brown;USA;English;PG-13;Adventure;Fantasy;;195000000,0;65171860,0;22000;2010;-129828140,0;-66,6;Moyen (6-7)
The Great Gatsby ;tt1343092;2013;143;7,3;362912;Baz Luhrmann;Leonardo DiCaprio;Elizabeth Debicki;Steve Bisley;Australia;English;PG-13;Drama;Romance;;105000000,0;144812796,0;115000;2010;39812796,0;37,9;Bon (7-8)
Prince of Persia: The Sands of Time ;tt0473075;2010;116;6,6;222403;Mike Newell;Jake Gyllenhaal;Richard Coyle;Reece Ritchie;USA;English;PG-13;Action;Adventure;Fantasy;200000000,0;90755643,0;23000;2010;-109244357,0;-54,6;Moyen (6-7)
Pacific Rim ;tt1663662;2013;131;7,0;381148;Guillermo del Toro;Charlie Hunnam;Clifton Collins Jr.;Larry Joe Campbell;USA;English;PG-13;Action;Adventure;Sci-Fi;190000000,0;101785482,0;83000;2010;-88214518,0;-46,4;Bon (7-8)
Transformers: Dark of the Moon ;tt1399103;2011;154;6,3;326180;Michael Bay;Glenn Morshower;Lester Speight;Kevin Dunn;USA;English;PG-13;Action;Adventure;Sci-Fi;195000000,0;352358779,0;46000;2010;157358779,0;80,7;Moyen (6-7)
Indiana Jones and the Kingdom of the Crystal Skull ;tt0367882;2008;122;6,2;333847;Steven Spielberg;Harrison Ford;Ray Winstone;Jim Broadbent;USA;English;PG-13;Action;Adventure;Fantasy;185000000,0;317011114,0;5000;2000;132011114,0;71,4;Moyen (6-7)
The Good Dinosaur ;tt1979388;2015;93;6,8;62836;Peter Sohn;A.J. Buckley;Jack McGraw;Peter Sohn;USA;English;PG;Adventure;Animation;Comedy;;123070338,0;20000;2010;;;Moyen (6-7)
Brave ;tt1217209;2012;93;7,2;273556;Mark Andrews;Kelly Macdonald;John Ratzenberger;Julie Walters;USA;English;PG;Adventure;Animation;Comedy;185000000,0;237282182,0;39000;2010;52282182,0;28,3;Bon (7-8)
Star Trek Beyond ;tt2660888;2016;122;7,5;53607;Justin Lin;Sofia Boutella;Melissa Roxburgh;Lydia Wilson;USA;English;PG-13;Action;Adventure;Sci-Fi;185000000,0;130468626,0;30000;2010;-54531374,0;-29,5;Bon (7-8)
WALL·E ;tt0910970;2008;98;8,4;718837;Andrew Stanton;John Ratzenberger;Fred Willard;Jeff Garlin;USA;English;G;Adventure;Animation;Family;180000000,0;223806889,0;16000;2000;43806889,0;24,3;Excellent (8+)
Rush Hour 3 ;tt0293564;2007;91;6,2;121084;Brett Ratner;Tzi Ma;Dana Ivey;Noémie Lenoir;USA;English;PG-13;Action;Comedy;Crime;140000000,0;140080850,0;0;2000;80850,0;0,1;Moyen (6-7)
2012 ;tt1190080;2009;158;5,8;283418;Roland Emmerich;Oliver Platt;Liam James;Tom McCarthy;USA;English;PG-13;Action;Adventure;Sci-Fi;200000000,0;166112167,0;13000;2000;-33887833,0;-16,9;Faible (<6)
A Christmas Carol ;tt1067106;2009;96;6,8;72809;Robert Zemeckis;Robin Wright;Colin Firth;Gary Oldman;USA;English;PG;Animation;Drama;Family;200000000,0;137850096,0;0;2000;-62149904,0;-31,1;Moyen (6-7)
Jupiter Ascending ;tt1617661;2015;127;5,4;139593;Lana Wachowski;Channing Tatum;Mila Kunis;Eddie Redmayne;USA;English;PG-13;Action;Adventure;Sci-Fi;176000000,0;47375327,0;44000;2010;-128624673,0;-73,1;Faible (<6)
The Legend of Tarzan ;tt0918940;2016;110;6,6;42372;David Yates;Christoph Waltz;Alexander Skarsgård;Casper Crump;USA;English;PG-13;Action;Adventure;Drama;180000000,0;124051759,0;29000;2010;-55948241,0;-31,1;Moyen (6-7)
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ;tt0363771;2005;150;6,9;286506;Andrew Adamson;Jim Broadbent;Kiran Shah;Shane Rangi;USA;English;PG;Adventure;Family;Fantasy;180000000,0;291709845,0;0;2000;111709845,0;62,1;Moyen (6-7)
X-Men: Apocalypse ;tt3385516;2016;144;7,3;148379;Bryan Singer;Jennifer Lawrence;Michael Fassbender;Tye Sheridan;USA;English;PG-13;Action;Adventure;Sci-Fi;178000000,0;154985087,0;54000;2010;-23014913,0;-12,9;Bon (7-8)
The Dark Knight ;tt0468569;2008;152;9,0;1676169;Christopher Nolan;Christian Bale;Heath Ledger;Morgan Freeman;USA;English;PG-13;Action;Crime;Drama;185000000,0;533316061,0;37000;2000;348316061,0;188,3;Excellent (8+)
Up ;tt1049413;2009;96;8,3;665575;Pete Docter;John Ratzenberger;Delroy Lindo;Jess Harnell;USA;English;PG;Adventure;Animation;Comedy;175000000,0;292979556,0;27000;2000;117979556,0;67,4;Excellent (8+)
Monsters vs. Aliens ;tt0892782;2009;94;6,5;114553;Rob Letterman;Amy Poehler;Rainn Wilson;Stephen Colbert;USA;English;PG;Action;Adventure;Animation;175000000,0;198332128,0;0;2000;23332128,0;13,3;Moyen (6-7)
Iron Man ;tt0371746;2008;126;7,9;696338;Jon Favreau;Robert Downey Jr.;Jeff Bridges;Jon Favreau;USA;English;PG-13;Action;Adventure;Sci-Fi;140000000,0;318298180,0;10000;2000;178298180,0;127,4;Bon (7-8)
Hugo ;tt0970179;2011;126;7,5;245333;Martin Scorsese;Chloë Grace Moretz;Christopher Lee;Ray Winstone;USA;English;PG;Adventure;Drama;Family;170000000,0;73820094,0;42000;2010;-96179906,0;-56,6;Bon (7-8)
Wild Wild West ;tt0120891;1999;106;4,8;129601;Barry Sonnenfeld;Will Smith;Salma Hayek;Bai Ling;USA;English;PG-13;Action;Comedy;Sci-Fi;170000000,0;113745408,0;0;1990;-56254592,0;-33,1;Faible (<6)
The Mummy: Tomb of the Dragon Emperor ;tt0859163;2008;112;5,2;117927;Rob Cohen;Jet Li;Brendan Fraser;Russell Wong;USA;English;PG-13;Action;Adventure;Fantasy;145000000,0;102176165,0;0;2000;-42823835,0;-29,5;Faible (<6)
Suicide Squad ;tt1386697;2016;123;6,9;118992;David Ayer;Will Smith;Robin Atkin Downes;Ike Barinholtz;USA;English;PG-13;Action;Adventure;Comedy;175000000,0;161087183,0;80000;2010;-13912817,0;-8,0;Moyen (6-7)
Evan Almighty ;tt0413099;2007;96;5,4;115099;Tom Shadyac;Jimmy Bennett;Morgan Freeman;Steve Carell;USA;English;PG;Comedy;Family;Fantasy;175000000,0;100289690,0;2000;2000;-74710310,0;-42,7;Faible (<6)
Edge of Tomorrow ;tt1631867;2014;113;7,9;431620;Doug Liman;Tom Cruise;Lara Pulver;Noah Taylor;USA;English;PG-13;Action;Adventure;Sci-Fi;178000000,0;100189501,0;77000;2010;-77810499,0;-43,7;Bon (7-8)
Waterworld ;tt0114898;1995;176;6,1;144337;Kevin Reynolds;Jeanne Tripplehorn;Rick Aviles;Zakes Mokae;USA;English;PG-13;Action;Adventure;Sci-Fi;175000000,0;88246220,0;0;1990;-86753780,0;-49,6;Moyen (6-7)
G.I. Joe: The Rise of Cobra ;tt1046173;2009;118;5,8;174578;Stephen Sommers;Joseph Gordon-Levitt;Dennis Quaid;Leo Howard;USA;English;PG-13;Action;Adventure;Sci-Fi;175000000,0;150167630,0;0;2000;-24832370,0;-14,2;Faible (<6)
Inside Out ;tt2096673;2015;95;8,3;345198;Pete Docter;Amy Poehler;Mindy Kaling;Phyllis Smith;USA;English;PG;Adventure;Animation;Comedy;175000000,0;356454367,0;118000;2010;181454367,0;103,7;Excellent (8+)
The Jungle Book ;tt3040964;2016;106;7,8;106072;Jon Favreau;Scarlett Johansson;Bill Murray;Garry Shandling;UK;English;PG;Adventure;Drama;Family;175000000,0;362645141,0;65000;2010;187645141,0;107,2;Bon (7-8)
Iron Man 2 ;tt1228705;2010;124;7,0;522371;Jon Favreau;Robert Downey Jr.;Scarlett Johansson;Jon Favreau;USA;English;PG-13;Action;Adventure;Sci-Fi;200000000,0;312057433,0;18000;2010;112057433,0;56,0;Bon (7-8)
Snow White and the Huntsman ;tt1735898;2012;132;6,1;228554;Rupert Sanders;Chris Hemsworth;Kristen Stewart;Sam Claflin;USA;English;PG-13;Action;Adventure;Drama;170000000,0;155111815,0;53000;2010;-14888185,0;-8,8;Moyen (6-7)
Maleficent ;tt1587310;2014;97;7,0;252257;Robert Stromberg;Angelina Jolie Pitt;Sharlto Copley;Sam Riley;USA;English;PG;Action;Adventure;Family;180000000,0;241407328,0;89000;2010;61407328,0;34,1;Bon (7-8)
Dawn of the Planet of the Apes ;tt2103281;2014;130;7,6;317542;Matt Reeves;Gary Oldman;Judy Greer;Kodi Smit-McPhee;USA;English;PG-13;Action;Adventure;Drama;170000000,0;208543795,0;45000;2010;38543795,0;22,7;Bon (7-8)
The Lovers ;tt1321869;2015;109;4,5;2138;Roland Joffé;Tamsin Egerton;Alice Englert;Bipasha Basu;Belgium;English;R;Action;Adventure;Romance;;;677;2010;;;Faible (<6)
47 Ronin ;tt1335975;2013;128;6,3;116994;Carl Rinsch;Keanu Reeves;Cary-Hiroyuki Tagawa;Jin Akanishi;USA;English;PG-13;Action;Adventure;Drama;175000000,0;38297305,0;35000;2010;-136702695,0;-78,1;Moyen (6-7)
Captain America: The Winter Soldier ;tt1843866;2014;136;7,8;496749;Anthony Russo;Scarlett Johansson;Chris Evans;Hayley Atwell;USA;English;PG-13;Action;Adventure;Sci-Fi;170000000,0;259746958,0;55000;2010;89746958,0;52,8;Bon (7-8)
Shrek Forever After ;tt0892791;2010;93;6,4;138661;Mike Mitchell;Jon Hamm;Kathy Griffin;Mary Kay Place;USA;English;PG;Adventure;Animation;Comedy;165000000,0;238371987,0;0;2010;73371987,0;44,5;Moyen (6-7)
Tomorrowland ;tt1964418;2015;130;6,5;128306;Brad Bird;Judy Greer;Chris Bauer;Thomas Robinson;USA;English;PG;Action;Adventure;Family;190000000,0;93417865,0;37000;2010;-96582135,0;-50,8;Moyen (6-7)
Big Hero 6 ;tt2245084;2014;102;7,9;279093;Don Hall;Damon Wayans Jr.;Daniel Henney;Abraham Benrubi;USA;English;PG;Action;Adventure;Animation;165000000,0;222487711,0;41000;2010;57487711,0;34,8;Bon (7-8)
Wreck-It Ralph ;tt1772341;2012;101;7,8;272534;Rich Moore;Jack McBrayer;Sarah Silverman;Joe Lo Truglio;USA;English;PG;Adventure;Animation;Comedy;165000000,0;189412677,0;40000;2010;24412677,0;14,8;Bon (7-8)
The Polar Express ;tt0338348;2004;100;6,6;120798;Robert Zemeckis;Tom Hanks;Eddie Deezen;Peter Scolari;USA;English;G;Adventure;Animation;Family;165000000,0;665426,0;10000;2000;-164334574,0;-99,6;Moyen (6-7)
Independence Day: Resurgence ;tt1628841;2016;120;5,5;58137;Roland Emmerich;Vivica A. Fox;Sela Ward;Judd Hirsch;USA;English;PG-13;Action;Adventure;Sci-Fi;165000000,0;102315545,0;67000;2010;-62684455,0;-38,0;Faible (<6)
How to Train Your Dragon ;tt0892769;2010;98;8,2;485430;Dean DeBlois;Gerard Butler;America Ferrera;Craig Ferguson;USA;English;PG;Adventure;Animation;Family;165000000,0;217387997,0;33000;2010;52387997,0;31,8;Excellent (8+)
Terminator 3: Rise of the Machines ;tt0181852;2003;109;6,4;305340;Jonathan Mostow;Nick Stahl;M.C. Gainey;Carolyn Hennesy;USA;English;R;Action;Sci-Fi;;200000000,0;150350192,0;0;2000;-49649808,0;-24,8;Moyen (6-7)
Guardians of the Galaxy ;tt2015381;2014;121;8,1;682155;James Gunn;Bradley Cooper;Vin Diesel;Djimon Hounsou;USA;English;PG-13;Action;Adventure;Sci-Fi;170000000,0;333130696,0;96000;2010;163130696,0;96,0;Excellent (8+)
Interstellar ;tt0816692;2014;169;8,6;928227;Christopher Nolan;Matthew McConaughey;Anne Hathaway;Mackenzie Foy;USA;English;PG-13;Adventure;Drama;Sci-Fi;165000000,0;187991439,0;349000;2010;22991439,0;13,9;Excellent (8+)
Inception ;tt1375666;2010;148;8,8;1468200;Christopher Nolan;Leonardo DiCaprio;Tom Hardy;Joseph Gordon-Levitt;USA;English;PG-13;Action;Adventure;Sci-Fi;160000000,0;292568851,0;175000;2010;132568851,0;82,9;Excellent (8+)
Godzilla Resurgence ;tt4262980;2016;120;8,2;374;Hideaki Anno;Mark Chinnery;Shin'ya Tsukamoto;Atsuko Maeda;Japan;Japanese;;Action;Adventure;Drama;;;0;2010;;;Excellent (8+)
The Hobbit: An Unexpected Journey ;tt0903624;2012;182;7,9;637246;Peter Jackson;Aidan Turner;Adam Brown;James Nesbitt;USA;English;PG-13;Adventure;Fantasy;;180000000,0;303001229,0;166000;2010;123001229,0;68,3;Bon (7-8)
The Fast and the Furious ;tt0232500;2001;106;6,7;272223;Rob Cohen;Paul Walker;Vin Diesel;Jordana Brewster;USA;English;PG-13;Action;Crime;Thriller;38000000,0;144512310,0;14000;2000;106512310,0;280,3;Moyen (6-7)
The Curious Case of Benjamin Button ;tt0421715;2008;166;7,8;459346;David Fincher;Brad Pitt;Jason Flemyng;Julia Ormond;USA;English;PG-13;Drama;Fantasy;Romance;150000000,0;127490802,0;23000;2000;-22509198,0;-15,0;Bon (7-8)
X-Men: First Class ;tt1270798;2011;132;7,8;518537;Matthew Vaughn;Jennifer Lawrence;Michael Fassbender;Oliver Platt;USA;English;PG-13;Action;Adventure;Sci-Fi;160000000,0;146405371,0;54000;2010;-13594629,0;-8,5;Bon (7-8)
The Hunger Games: Mockingjay - Part 2 ;tt1951266;2015;137;6,6;166137;Francis Lawrence;Jennifer Lawrence;Philip Seymour Hoffman;Josh Hutcherson;USA;English;PG-13;Adventure;Sci-Fi;;160000000,0;281666058,0;38000;2010;121666058,0;76,0;Moyen (6-7)
The Sorcerer's Apprentice ;tt0963966;2010;109;6,1;124185;Jon Turteltaub;Nicolas Cage;Omar Benson Miller;Robert Capron;USA;English;PG;Action;Adventure;Family;150000000,0;63143812,0;11000;2010;-86856188,0;-57,9;Moyen (6-7)
Poseidon ;tt0409182;2006;98;5,6;82380;Wolfgang Petersen;Jimmy Bennett;Mike Vogel;Andre Braugher;USA;English;PG-13;Action;Adventure;Drama;160000000,0;60655503,0;0;2000;-99344497,0;-62,1;Faible (<6)
Alice Through the Looking Glass ;tt2567026;2016;113;6,4;21352;James Bobin;Johnny Depp;Alan Rickman;Anne Hathaway;USA;English;PG;Adventure;Family;Fantasy;170000000,0;76846624,0;30000;2010;-93153376,0;-54,8;Moyen (6-7)
Shrek the Third ;tt0413267;2007;93;6,1;211971;Chris Miller;Justin Timberlake;Eric Idle;Rupert Everett;USA;English;PG;Adventure;Animation;Comedy;160000000,0;320706665,0;0;2000;160706665,0;100,4;Moyen (6-7)
Warcraft ;tt0803096;2016;123;7,3;111609;Duncan Jones;Dominic Cooper;Callum Rennie;Ruth Negga;USA;English;PG-13;Action;Adventure;Fantasy;160000000,0;46978995,0;89000;2010;-113021005,0;-70,6;Bon (7-8)
Terminator Genisys ;tt1340138;2015;126;6,6;188457;Alan Taylor;J.K. Simmons;Emilia Clarke;Matt Smith;USA;English;PG-13;Action;Adventure;Sci-Fi;155000000,0;89732035,0;82000;2010;-65267965,0;-42,1;Moyen (6-7)
The Chronicles of Narnia: The Voyage of the Dawn Treader ;tt0980970;2010;113;6,3;106446;Michael Apted;Bruce Spence;Shane Rangi;Laura Brent;USA;English;PG;Adventure;Family;Fantasy;155000000,0;104383624,0;11000;2010;-50616376,0;-32,7;Moyen (6-7)
